Unit ID:,1,,,,,,,,,,,,,
User ID:,,,,,,,,,,,,,,
Site:,PFC,,,,,,,,,,,,,
Log Interval:,0.25,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Model, Submodel, S/N, S/W Ver,,,,,,,,,,,
Handheld,2, 17F105819,1.0.18,,,,,,,,,,,
5P Sonde,4, 17G100162,1.0.35,,,,,,,,,,,
CT,1, 17F102078,3.0.5,,,,,,,,,,,
ODO,1, 17D108766,3.0.0,,,,,,,,,,,
TAL-PC,1, 18E100678,3.0.0,,,,,,,,,,,
pH/ORP,1, 18E103391,3.0.0,,,,,,,,,,,
Turbidity,1, 18E100545,3.0.0,,,,,,,,,,,
Depth,2, 17F104892,3.0.0,,,,,,,,,,,
,,,,,,,,,,,,,,
Date,Time,°C,mmHg,DO %,DO mg/L,C-uS/cm,pH,ORP mV,FNU,BGA-PC RFU,BGA-PC ug/L,Chl RFU,Chl ug/L,DEP m
8/3/2018,10:18.3,27.05,741.5,123.3,9.82,76.8,8.39,121.8,0.85,0,0,0,0,0.175
8/3/2018,10:18.5,27.05,741.5,123.3,9.82,76.8,8.39,121.8,0.85,0,0,0,0,0.175
8/3/2018,10:18.8,27.052,741.5,123.4,9.83,76.8,8.39,121.9,0.85,0,0,0,0,0.179
8/3/2018,10:19.0,27.052,741.5,123.4,9.83,76.8,8.39,121.9,0.85,0,0,0,0,0.179
8/3/2018,10:19.3,27.053,741.5,123.5,9.83,76.7,8.39,121.9,0.85,0,0,0,0,0.183
8/3/2018,10:19.5,27.053,741.5,123.5,9.83,76.7,8.39,121.9,0.85,0,0,0,0,0.183
8/3/2018,10:19.7,27.053,741.5,123.6,9.84,76.7,8.39,122,0.87,0,0,0,0,0.185
8/3/2018,10:20.0,27.053,741.5,123.6,9.84,76.7,8.39,122,0.87,0,0,0,0,0.185
8/3/2018,10:20.2,27.053,741.5,123.7,9.85,76.7,8.38,122,0.86,0,0,0,0,0.189
8/3/2018,10:20.5,27.053,741.5,123.7,9.85,76.7,8.38,122,0.86,0,0,0,0,0.189
8/3/2018,10:20.8,27.054,741.5,123.8,9.85,76.7,8.38,122.1,0.87,0,0,0,0,0.19
8/3/2018,10:21.0,27.054,741.5,123.8,9.86,76.6,8.38,122.1,0.87,0,0,0,0,0.191
8/3/2018,10:21.3,27.055,741.5,124,9.87,76.6,8.38,122.2,0.88,0,0,0,0,0.195
8/3/2018,10:21.5,27.055,741.5,124,9.87,76.6,8.38,122.2,0.88,0,0,0,0,0.195
8/3/2018,10:21.8,27.057,741.5,124,9.87,76.6,8.38,122.2,0.88,0,0,0,0,0.196
8/3/2018,10:22.0,27.059,741.5,124,9.87,76.6,8.38,122.2,0.88,0,0,0,0,0.198
8/3/2018,10:22.2,27.062,741.4,124.1,9.88,76.6,8.37,122.2,0.88,0,0,0,0,0.199
8/3/2018,10:22.5,27.064,741.4,124.1,9.88,76.6,8.37,122.2,0.89,0,0,0,0,0.201
8/3/2018,10:22.8,27.068,741.4,124.2,9.88,76.6,8.37,122.3,0.89,0,0,0,0,0.203
8/3/2018,10:23.0,27.072,741.4,124.3,9.89,76.6,8.37,122.3,0.9,0,0,0,0,0.204
8/3/2018,10:23.3,27.081,741.5,124.4,9.9,76.6,8.37,122.3,0.9,0,0,0,0,0.207
8/3/2018,10:23.5,27.081,741.5,124.4,9.9,76.6,8.37,122.3,0.9,0,0,0,0,0.207
8/3/2018,10:23.7,27.091,741.5,124.4,9.9,76.6,8.37,122.3,0.91,0,0,0,0,0.211
8/3/2018,10:24.0,27.091,741.5,124.4,9.9,76.6,8.37,122.3,0.91,0,0,0,0,0.211
8/3/2018,10:24.3,27.098,741.5,124.5,9.9,76.6,8.36,122.4,0.91,0,0,0,0,0.214
8/3/2018,10:24.5,27.098,741.5,124.5,9.9,76.6,8.36,122.4,0.91,0,0,0,0,0.214
8/3/2018,10:24.8,27.108,741.5,124.6,9.91,76.6,8.36,122.4,0.92,0,0,0,0,0.217
8/3/2018,10:25.0,27.108,741.5,124.6,9.91,76.6,8.36,122.4,0.92,0,0,0,0,0.217
8/3/2018,10:25.3,27.117,741.5,124.7,9.91,76.6,8.36,122.5,0.91,0,0,0,0,0.22
8/3/2018,10:25.5,27.117,741.5,124.7,9.91,76.6,8.36,122.5,0.91,0,0,0,0,0.22
8/3/2018,10:25.8,27.126,741.5,124.7,9.92,76.6,8.36,122.5,0.9,0,0,0,0,0.224
8/3/2018,10:26.0,27.126,741.5,124.7,9.92,76.6,8.36,122.5,0.9,0,0,0,0,0.224
8/3/2018,10:26.2,27.13,741.5,124.7,9.92,76.6,8.36,122.5,0.91,0,0,0,0,0.225
8/3/2018,10:26.5,27.134,741.5,124.8,9.92,76.6,8.36,122.5,0.91,0,0,0,0,0.226
8/3/2018,10:26.8,27.141,741.5,124.8,9.92,76.7,8.35,122.6,0.91,0,0,0,0,0.23
8/3/2018,10:27.0,27.141,741.5,124.8,9.92,76.7,8.35,122.6,0.91,0,0,0,0,0.23
8/3/2018,10:27.3,27.144,741.5,124.8,9.92,76.7,8.35,122.6,0.91,0,0,0,0,0.231
8/3/2018,10:27.5,27.148,741.5,124.8,9.92,76.7,8.35,122.6,0.9,0,0,0,0,0.232
8/3/2018,10:27.8,27.156,741.5,124.9,9.92,76.7,8.35,122.7,0.91,0,0,0,0,0.235
8/3/2018,10:28.0,27.156,741.5,124.9,9.92,76.7,8.35,122.7,0.91,0,0,0,0,0.235
8/3/2018,10:28.3,27.159,741.4,124.9,9.92,76.7,8.35,122.7,0.91,0,0,0,0,0.236
8/3/2018,10:28.5,27.163,741.4,124.9,9.92,76.7,8.35,122.7,0.9,0,0,0,0,0.237
8/3/2018,10:28.8,27.165,741.4,124.9,9.92,76.7,8.35,122.7,0.91,0,0,0,0,0.237
8/3/2018,10:29.0,27.168,741.4,124.9,9.92,76.7,8.35,122.7,0.91,0,0,0,0,0.237
8/3/2018,10:29.3,27.171,741.5,124.9,9.92,76.7,8.35,122.8,0.91,0,0,0,0,0.238
8/3/2018,10:29.5,27.173,741.5,124.9,9.92,76.7,8.35,122.8,0.91,0,0,0,0,0.238
8/3/2018,10:29.7,27.174,741.5,124.9,9.92,76.7,8.34,122.8,0.91,0,0,0,0,0.238
8/3/2018,10:30.0,27.175,741.5,124.9,9.92,76.7,8.34,122.8,0.91,0,0,0,0,0.238
8/3/2018,10:30.3,27.176,741.5,124.9,9.92,76.7,8.34,122.9,0.91,0,0,0,0,0.238
8/3/2018,10:30.5,27.179,741.5,124.9,9.92,76.7,8.34,122.9,0.91,0,0,0,0,0.238
8/3/2018,10:30.8,27.179,741.5,124.9,9.92,76.7,8.34,122.9,0.91,0,0,0,0,0.238
8/3/2018,10:31.0,27.18,741.5,124.9,9.92,76.7,8.34,122.9,0.92,0,0,0,0,0.238
8/3/2018,10:31.3,27.181,741.5,124.9,9.92,76.7,8.34,123,0.91,0,0,0,0,0.238
8/3/2018,10:31.5,27.182,741.5,124.8,9.91,76.8,8.34,123,0.92,0,0,0,0,0.239
8/3/2018,10:31.7,27.182,741.5,124.8,9.91,76.8,8.34,123,0.92,0,0,0,0,0.239
8/3/2018,10:32.0,27.182,741.5,124.8,9.91,76.8,8.33,123.1,0.91,0,0,0,0,0.239
8/3/2018,10:32.3,27.182,741.5,124.8,9.91,76.8,8.33,123.1,0.91,0,0,0,0,0.239
8/3/2018,10:32.5,27.181,741.5,124.8,9.91,76.8,8.33,123.1,0.91,0,0,0,0,0.239
8/3/2018,10:32.8,27.181,741.5,124.8,9.91,76.8,8.33,123.1,0.91,0,0,0,0,0.239
8/3/2018,10:33.0,27.18,741.5,124.8,9.91,76.8,8.33,123.1,0.9,0,0,0,0,0.239
8/3/2018,10:33.2,27.18,741.5,124.8,9.91,76.8,8.33,123.1,0.9,0,0,0,0,0.239
8/3/2018,10:33.5,27.177,741.5,124.8,9.91,76.8,8.33,123.2,0.9,0,0,0,0,0.239
8/3/2018,10:33.8,27.177,741.5,124.8,9.91,76.8,8.33,123.2,0.9,0,0,0,0,0.239
8/3/2018,10:34.0,27.174,741.5,124.8,9.91,76.8,8.33,123.2,0.9,0,0,0,0,0.239
8/3/2018,10:34.3,27.174,741.5,124.8,9.91,76.8,8.33,123.2,0.9,0,0,0,0,0.239
8/3/2018,10:34.5,27.173,741.5,124.8,9.91,76.8,8.33,123.3,0.89,0,0,0,0,0.239
8/3/2018,10:34.8,27.172,741.5,124.8,9.91,76.8,8.33,123.3,0.9,0,0,0,0,0.239
8/3/2018,10:35.0,27.171,741.5,124.8,9.91,76.8,8.32,123.3,0.9,0,0,0,0,0.239
8/3/2018,10:35.3,27.169,741.5,124.8,9.91,76.8,8.32,123.3,0.89,0,0,0,0,0.239
8/3/2018,10:35.5,27.169,741.5,124.8,9.91,76.8,8.32,123.3,0.89,0,0,0,0,0.239
8/3/2018,10:35.7,27.165,741.5,124.7,9.91,76.9,8.32,123.4,0.88,0,0,0,0,0.239
8/3/2018,10:36.0,27.165,741.5,124.7,9.91,76.9,8.32,123.4,0.88,0,0,0,0,0.239
8/3/2018,10:36.3,27.161,741.5,124.7,9.91,76.9,8.32,123.4,0.88,0,0,0,0,0.239
8/3/2018,10:36.5,27.161,741.5,124.7,9.91,76.9,8.32,123.4,0.88,0,0,0,0,0.239
8/3/2018,10:36.8,27.157,741.5,124.7,9.91,76.9,8.32,123.5,0.88,0,0,0,0,0.239
8/3/2018,10:37.0,27.157,741.5,124.7,9.91,76.9,8.32,123.5,0.88,0,0,0,0,0.239
8/3/2018,10:37.3,27.155,741.5,124.7,9.91,76.9,8.32,123.5,0.87,0,0,0,0,0.239
8/3/2018,10:37.5,27.155,741.5,124.7,9.91,76.9,8.32,123.5,0.87,0,0,0,0,0.239
8/3/2018,10:37.8,27.153,741.5,124.7,9.91,76.9,8.32,123.5,0.87,0,0,0,0,0.239
