dateTime_Round,chlorophyll_RFU,depth_m,doSaturation_percent,doConcentration_mgpL,orp_mV,salinity_psu,specificConductivity_uSpcm,phycocyaninBGA_RFU,tds_mgpL,turbidity_FNU,pH,temp_degC,verticalPosition_m,latitude,longitude,altitude_m,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars
2019-06-12T15:07:15Z,0.7433333333333333,2.6066666666666665,73.1,6.16,111.63333333333333,0.08,170.4,0.12333333333333334,111,57.736666666666665,7.4,23.962666666666667,2.622666666666667,NA,NA,NA,2019-06-12,2019-06-12T15:07:15Z,145,0.25161041553257124,990.9777777777778
2019-06-12T15:07:18Z,0.7733333333333333,2.7523333333333335,72.76666666666667,6.126666666666667,111.73333333333333,0.08,169.93333333333334,0.07,110.33333333333333,57.656666666666666,7.3966666666666665,23.955666666666666,2.7776666666666667,NA,NA,NA,2019-06-12,2019-06-12T15:07:18Z,145,0.2656731990564326,991.0222222222222
2019-06-12T15:07:21Z,0.7466666666666667,2.9326666666666665,72.4,6.093333333333333,111.7,0.08,169.8,0.10333333333333333,110,55.92,7.39,23.952333333333335,2.945,NA,NA,NA,2019-06-12,2019-06-12T15:07:21Z,145,0.2830702231899837,990.9777777777778
2019-06-12T15:07:24Z,0.7466666666666667,3.1166666666666667,72.06666666666666,6.07,111.83333333333334,0.08,169.5,0.09,110,57.11,7.386666666666667,23.948666666666668,3.144,NA,NA,NA,2019-06-12,2019-06-12T15:07:24Z,145,0.3008528397749955,990.9777777777778
2019-06-12T15:07:27Z,0.72,3.253,71.7,6.04,111.93333333333334,0.08,169.23333333333332,0.09666666666666666,110,56.913333333333334,7.38,23.947333333333333,3.2693333333333334,NA,NA,NA,2019-06-12,2019-06-12T15:07:27Z,145,0.31398566503356923,990.9777777777778
2019-06-12T15:07:30Z,0.7133333333333334,3.3636666666666666,71.4,6.016666666666667,111.96666666666667,0.08,169,0.07666666666666667,110,56.083333333333336,7.38,23.944,3.3770000000000002,NA,NA,NA,2019-06-12,2019-06-12T15:07:30Z,145,0.324668844129922,991.0222222222222
2019-06-12T15:07:33Z,0.7233333333333333,3.4896666666666665,71.23333333333333,6.003333333333333,112.1,0.08,168.96666666666667,0.09,110,56.43,7.37,23.942,3.498666666666667,NA,NA,NA,2019-06-12,2019-06-12T15:07:33Z,145,0.33684902921429866,991.0222222222222
2019-06-12T15:07:36Z,0.7533333333333333,3.5796666666666668,71.13333333333333,5.99,112.1,0.08,168.8,0.12333333333333334,110,59.37,7.37,23.94,3.6013333333333333,NA,NA,NA,2019-06-12,2019-06-12T15:07:36Z,145,0.34551351841771005,990.9777777777778
2019-06-12T15:07:39Z,0.7533333333333333,3.7603333333333335,71.1,5.99,112.16666666666667,0.08,168.56666666666666,0.13333333333333333,110,56.873333333333335,7.37,23.934666666666665,3.772333333333333,NA,NA,NA,2019-06-12,2019-06-12T15:07:39Z,145,0.36295590636908,990.9777777777778
2019-06-12T15:07:42Z,0.7466666666666667,3.8273333333333333,71.1,5.99,112.1,0.08,168.6,0.11666666666666667,110,57.29,7.37,23.934666666666665,3.836,NA,NA,NA,2019-06-12,2019-06-12T15:07:42Z,145,0.36942025040827436,991.0222222222222
2019-06-12T15:07:45Z,0.73,3.9203333333333332,71.1,5.99,112.1,0.08,168.8,0.05666666666666667,110,57.51,7.366666666666667,23.934,3.933333333333333,NA,NA,NA,2019-06-12,2019-06-12T15:07:45Z,145,0.3784022863364181,991.0666666666666
2019-06-12T15:07:48Z,0.8033333333333333,4.0169999999999995,71.2,6,112.2,0.08,168.8,0.07,110,55.29333333333334,7.36,23.933333333333334,4.0263333333333335,NA,NA,NA,2019-06-12,2019-06-12T15:07:48Z,145,0.38774723280711304,991.0222222222222
2019-06-12T15:07:51Z,0.7833333333333333,4.107333333333333,71.33333333333333,6.013333333333333,112.2,0.08,168.93333333333334,0.10333333333333333,110,57.33,7.36,23.931666666666665,4.1193333333333335,NA,NA,NA,2019-06-12,2019-06-12T15:07:51Z,145,0.3964570858283433,991.0666666666666
2019-06-12T15:07:54Z,0.83,4.210333333333334,71.46666666666667,6.023333333333333,112.23333333333333,0.08,169.13333333333333,0.10666666666666667,110,57.19,7.36,23.927333333333333,4.229333333333334,NA,NA,NA,2019-06-12,2019-06-12T15:07:54Z,145,0.4064144438395935,990.9777777777778
2019-06-12T15:07:57Z,0.7566666666666667,4.3629999999999995,71.56666666666666,6.03,112.3,0.08,169.2,0.11666666666666667,110,57.29,7.36,23.92533333333333,4.383333333333333,NA,NA,NA,2019-06-12,2019-06-12T15:07:57Z,145,0.4211576846307385,990.9777777777778
2019-06-12T15:08:00Z,0.7833333333333333,4.49,71.66666666666667,6.04,112.3,0.08,169.43333333333334,0.10666666666666667,110,55.656666666666666,7.36,23.920666666666666,4.496666666666667,NA,NA,NA,2019-06-12,2019-06-12T15:08:00Z,145,0.43342859735075306,991.0222222222222
2019-06-12T15:08:03Z,0.76,4.588333333333333,71.76666666666667,6.046666666666667,112.36666666666667,0.08,169.36666666666667,0.08333333333333334,110,57.32,7.36,23.903,4.604,NA,NA,NA,2019-06-12,2019-06-12T15:08:03Z,145,0.44288695336599526,990.9333333333334
2019-06-12T15:08:06Z,0.76,4.665,71.7,6.05,112.3,0.08,169.3,0.09,110,55.056666666666665,7.36,23.889,4.67,NA,NA,NA,2019-06-12,2019-06-12T15:08:06Z,145,0.45032661948829616,991.0666666666666
2019-06-12T15:08:09Z,0.76,4.7299999999999995,71.63333333333333,6.04,112.3,0.08,168.7,0.11666666666666667,110,56.303333333333335,7.36,23.876333333333335,4.742,NA,NA,NA,2019-06-12,2019-06-12T15:08:09Z,145,0.4566095082562149,991.0222222222222
2019-06-12T15:08:12Z,0.7633333333333333,4.803333333333334,71.43333333333334,6.026666666666666,112.4,0.08,168.4,0.13,109,55.49333333333333,7.36,23.87333333333333,4.806666666666667,NA,NA,NA,2019-06-12,2019-06-12T15:08:12Z,145,0.46368626383596445,990.9777777777778
2019-06-12T15:08:15Z,0.7666666666666667,4.908333333333333,71.33333333333333,6.016666666666667,112.46666666666667,0.08,168.1,0.09,109,57.51,7.3533333333333335,23.869333333333334,4.928333333333334,NA,NA,NA,2019-06-12,2019-06-12T15:08:15Z,145,0.47377971330067137,991.1111111111111
2019-06-12T15:08:18Z,0.8133333333333334,5.028333333333333,71.26666666666667,6.01,112.53333333333333,0.08,167.9,0.1,109,57.766666666666666,7.35,23.865,5.0376666666666665,NA,NA,NA,2019-06-12,2019-06-12T15:08:18Z,145,0.48534748684449286,991.1111111111111
2019-06-12T15:08:21Z,0.76,5.1306666666666665,71.2,6.006666666666667,112.6,0.08,167.86666666666667,0.12,109,57.63,7.35,23.859666666666666,5.150666666666666,NA,NA,NA,2019-06-12,2019-06-12T15:08:21Z,145,0.49525948103792417,991.1555555555555
2019-06-12T15:08:24Z,0.7933333333333333,5.237333333333334,71.06666666666666,5.996666666666667,112.66666666666667,0.08,167.6,0.09333333333333334,109,57.81666666666666,7.35,23.855333333333334,5.243,NA,NA,NA,2019-06-12,2019-06-12T15:08:24Z,145,0.5055797495917256,991.0222222222222
2019-06-12T15:08:27Z,0.76,5.367666666666667,70.9,5.986666666666667,112.83333333333333,0.08,167.43333333333334,0.05666666666666667,109,58.913333333333334,7.34,23.854333333333333,5.396333333333334,NA,NA,NA,2019-06-12,2019-06-12T15:08:27Z,145,0.5181682090364725,991.1111111111111
2019-06-12T15:08:30Z,0.7333333333333333,5.532333333333334,70.76666666666667,5.97,112.9,0.08,167.3,0.09,109,58.60333333333333,7.34,23.844666666666665,5.547666666666666,NA,NA,NA,2019-06-12,2019-06-12T15:08:30Z,145,0.5340001814552713,991.0222222222222
2019-06-12T15:08:33Z,0.7533333333333333,5.655333333333333,70.6,5.963333333333333,113,0.08,167.46666666666667,0.08666666666666667,109,59.916666666666664,7.34,23.780666666666665,5.6723333333333334,NA,NA,NA,2019-06-12,2019-06-12T15:08:33Z,145,0.5459081836327345,990.9777777777778
2019-06-12T15:08:39Z,0.6833333333333333,5.753333333333333,69,5.836666666666667,113,0.08,167.1,0.06333333333333332,109,60.13666666666667,7.33,23.738,5.762666666666666,NA,NA,NA,2019-06-12,2019-06-12T15:08:39Z,145,0.5553892215568863,990.9777777777778
