MULakeNumber,Lake name,Date,Time,Parameter,SecchiDepth_m,Comments
182,Fox Valley,6/15/2023,8:25:00 AM,Secchi,3.28,
182,Fox Valley,6/15/2023,8:25:00 AM,Secchi ,3.05,
114,Henry sever ,6/15/2023,11:33:00 AM,Secchi,0.9,
114,Henry sever ,6/15/2023,11:33:00 AM,Secchi ,0.8,
115,Hunnewell,6/15/2023,1:40:00 PM,Secchi,1.8,
115,Hunnewell,6/15/2023,1:40:00 PM,Secchi ,1.7,
48,Long Branch ,6/15/2023,4:45:00 PM,Secchi,1,
48,Long Branch ,6/15/2023,4:45:00 PM,Secchi ,0.87,
49,Macon,6/15/2023,3:40:00 PM,Secchi,0.78,
49,Macon,6/15/2023,3:40:00 PM,Secchi ,0.67,
123,Shelbyville,6/15/2023,12:47:00 PM,Secchi,0.3,
123,Shelbyville,6/15/2023,12:47:00 PM,Secchi ,0.25,
96,Fellows,6/20/2023,3:08:00 PM,Secchi,2.94,
96,Fellows,6/20/2023,3:08:00 PM,Secchi ,2.73,
184,Manito,6/20/2023,9:58:00 AM,Secchi,0.8,
184,Manito,6/20/2023,9:58:00 AM,Secchi ,0.7,
88,Marceline ,6/20/2023,1:40:00 PM,Secchi,1.4,
88,Marceline ,6/20/2023,1:40:00 PM,Secchi ,1.35,
44,Peters Lake (Fayette),6/20/2023,11:15:00 AM,Secchi,1,
44,Peters Lake (Fayette),6/20/2023,11:15:00 AM,Secchi ,0.93,
92,Pomme De Terre,6/20/2023,12:48:00 PM,Secchi,1.08,
92,Pomme De Terre,6/20/2023,12:48:00 PM,Secchi ,1.1,
93,Stockton ,6/20/2023,12:30:00 PM,Secchi,2.8,
93,Stockton ,6/20/2023,12:30:00 PM,Secchi ,2.7,
91,Atkinson,6/21/2023,7:20:00 AM,Secchi,0.54,
91,Atkinson,6/21/2023,7:20:00 AM,Secchi ,0.45,
169,Gopher,6/21/2023,1:13:00 PM,Secchi,0.47,
169,Gopher ,6/21/2023,1:13:00 PM,Secchi ,0.41,
183,Hazel Hill,6/21/2023,2:55:00 PM,Secchi,0.85,
183,Hazel Hill,6/21/2023,2:55:00 PM,Secchi ,0.73,
165,Jackrabbit,6/21/2023,12:31:00 PM,Secchi,0.48,
165,Jackrabbit ,6/21/2023,12:31:00 PM,Secchi ,0.42,
70,North ,6/21/2023,9:30:00 AM,Secchi,0.5,
70,North ,6/21/2023,9:30:00 AM,Secchi ,0.45,
120,Winnebago ,6/21/2023,11:00:00 AM,Secchi,1.3,
120,Winnebago ,6/21/2023,11:00:00 AM,Secchi ,1.1,
150,Blind Pony ,6/22/2023,7:38:00 AM,Secchi,0.8,
150,Blind Pony ,6/22/2023,7:38:00 AM,Secchi ,0.73,
87,Brookfield,6/22/2023,3:12:00 PM,Secchi,1.36,
