Lake#,Reservoir Name,Dates
182,Fox Valley,6/19/2018
182,Fox Valley,7/17/2018
182,Fox Valley,8/7/2018
182,Fox Valley,6/11/2019
182,Fox Valley,7/9/2019
182,Fox Valley,7/31/2019
182,Fox Valley,9/19/2019
182,Fox Valley,6/23/2020
182,Fox Valley,7/29/2020
182,Fox Valley,8/25/2020
182,Fox Valley,9/15/2020
182,Fox Valley,6/3/2021
182,Fox Valley,6/22/2021
182,Fox Valley,7/13/2021
182,Fox Valley,7/31/2021
182,Fox Valley,5/25/2022
182,Fox Valley,6/15/2022
182,Fox Valley,7/13/2022
182,Fox Valley,8/3/2022
184,Manito,5/24/2017
184,Manito,6/14/2017
184,Manito,7/20/2017
184,Manito,8/9/2017
184,Manito,5/21/2018
184,Manito,6/11/2018
184,Manito,7/9/2018
184,Manito,7/30/2018
184,Manito,6/27/2019
184,Manito,7/25/2019
184,Manito,8/15/2019
184,Manito,8/21/2019
184,Manito,6/10/2020
184,Manito,7/8/2020
184,Manito,8/5/2020
184,Manito,8/19/2020
184,Manito,5/27/2021
184,Manito,6/16/2021
184,Manito,7/8/2021
184,Manito,8/5/2021
184,Manito,6/7/2022
184,Manito,6/27/2022
184,Manito,7/25/2022
184,Manito,8/15/2022
219,Dairy 1,6/9/2017
219,Dairy 1,6/30/2017
219,Dairy 1,7/21/2017
219,Dairy 1,8/11/2017
219,Dairy 1,5/31/2018
219,Dairy 1,6/28/2018
219,Dairy 1,8/1/2018
219,Dairy 1,9/12/2018
219,Dairy 1,5/22/2019
219,Dairy 1,6/11/2019
219,Dairy 1,7/12/2019
219,Dairy 1,8/13/2019
219,Dairy 1,6/19/2020
219,Dairy 1,7/9/2020
219,Dairy 1,7/23/2020
219,Dairy 1,8/11/2020
219,Dairy 1,6/4/2021
219,Dairy 1,6/16/2021
219,Dairy 1,7/15/2021
219,Dairy 1,8/31/2021
219,Dairy 1,6/16/2022
219,Dairy 1,6/30/2022
219,Dairy 1,7/19/2022
219,Dairy 1,8/11/2022
