dateTime_Round,chlorophyll_RFU,depth_m,doSaturation_percent,doConcentration_mgpL,orp_mV,waterPressure_barA,salinity_psu,specificConductivity_uSpcm,phycocyaninBGA_RFU,tds_mgpL,turbidity_FNU,pH,temp_degC,verticalPosition_m,latitude,longitude,altitude_m,barometerAirHandheld_mbars,date,dateTime,MULakeNumber,depthDiff_m,verticalPositionDiff_m
2020-06-30T10:37:24Z,0.3466666666666667,17.608,0.1,0.01,122.9,1.7226666666666666,0.12,252.5,-0.03666666666666667,164,3.336666666666667,7.1,22.695,17.615000000000002,38.20473,-92.62767,199.03333333333333,985.8,2020-06-30,2020-06-30T10:37:24Z,149,0.07566666666666677,0.0903333333333336
2020-06-30T10:37:27Z,0.38,17.683666666666667,0.1,0.01,122.76666666666667,1.7303333333333335,0.12,252.8,0.02,164,3.2666666666666666,7.1,22.646333333333335,17.705333333333336,38.20473,-92.62768,199,985.8,2020-06-30,2020-06-30T10:37:27Z,149,0.08966666666666612,0.07233333333333292
2020-06-30T10:37:30Z,0.35,17.773333333333333,0.1,0.01,122.6,1.7386666666666668,0.12,253,0.02666666666666667,164,3.3466666666666667,7.1,22.593333333333334,17.77766666666667,38.20473,-92.62768,198.93333333333334,985.8333333333333,2020-06-30,2020-06-30T10:37:30Z,149,0.09233333333333249,0.09466666666666512
2020-06-30T10:37:33Z,0.35333333333333333,17.865666666666666,0.1,0.01,122.46666666666667,1.748,0.12,253.06666666666666,0.006666666666666666,164.33333333333334,3.29,7.1,22.54433333333333,17.872333333333334,38.204726666666666,-92.62769,199.06666666666666,985.8333333333333,2020-06-30,2020-06-30T10:37:33Z,149,0.07566666666666677,0.07699999999999818
2020-06-30T10:37:36Z,0.36,17.941333333333333,0.1,0.01,122.26666666666667,1.7553333333333332,0.12,253,0,164.33333333333334,3.3833333333333333,7.096666666666667,22.499666666666666,17.949333333333332,38.20472,-92.62769,199.13333333333333,985.8333333333333,2020-06-30,2020-06-30T10:37:36Z,149,0.054000000000002046,0.05133333333333567
2020-06-30T10:37:39Z,0.36,17.995333333333335,0.1,0.01,122.1,1.761,0.12,252.86666666666667,-0.016666666666666666,164,3.3266666666666667,7.09,22.487333333333332,18.000666666666667,38.20472,-92.62769333333334,199.03333333333333,985.8666666666667,2020-06-30,2020-06-30T10:37:39Z,149,0.07166666666666544,0.0799999999999983
2020-06-30T10:37:42Z,0.34,18.067,0.1,0.01,121.93333333333334,1.7676666666666665,0.12,252.73333333333332,-0.016666666666666666,164,3.31,7.09,22.444333333333333,18.080666666666666,38.20473,-92.6277,198.93333333333334,985.8,2020-06-30,2020-06-30T10:37:42Z,149,0.06400000000000006,0.053666666666668306
2020-06-30T10:37:45Z,0.36333333333333334,18.131,0.1,0.01,121.76666666666667,1.7743333333333333,0.12,252.73333333333332,0.04,164,3.37,7.09,22.423666666666666,18.134333333333334,38.20473,-92.6277,199.03333333333333,985.8666666666667,2020-06-30,2020-06-30T10:37:45Z,149,0.11133333333333084,0.12833333333333385
2020-06-30T10:37:48Z,0.3466666666666667,18.24233333333333,0,0,121.6,1.785,0.12,252.8,0.056666666666666664,164,3.2533333333333334,7.086666666666667,22.407,18.262666666666668,38.20473,-92.62771,199,985.9,2020-06-30,2020-06-30T10:37:48Z,149,0.1316666666666677,0.1213333333333324
2020-06-30T10:37:51Z,0.35333333333333333,18.374,0,0,121.5,1.7976666666666667,0.12,252.83333333333334,0.05,164,3.32,7.08,22.355,18.384,38.20473,-92.62771,199,985.8666666666667,2020-06-30,2020-06-30T10:37:51Z,149,0.07666666666666799,0.06800000000000139
