Level0_profiles,MULakeNumber,year,month,day,csv,Level0to1_done,Level0to1_done_date,profile_date,maxDepth_m,latitude,longitude,altitude_m,barometerAirHandheld_mbars,doConcentration_mgpL_bottom,doConcentration_mgpL_bottom5mean,nrow_original_Level0,nrow_readProfile,nrow_Level1,Level1FileName
258_2018_05_16.csv,258,2018,05,16,csv,Yes,2023-06-25,2018-05-16,5.144,NA,NA,NA,987.8083333333333,0.29,0.3233333333333333,116,116,96,258_2018_05_16_Level1.csv
258_2018_06_11.csv,258,2018,06,11,csv,Yes,2023-06-25,2018-06-11,4.727,NA,NA,NA,983.8483870967742,3.9,3.81,147,147,124,258_2018_06_11_Level1.csv
258_2018_07_09.csv,258,2018,07,09,csv,Yes,2023-06-25,2018-07-09,5.063,NA,NA,NA,997.8335999999999,0.12,0.12666666666666668,139,139,125,258_2018_07_09_Level1.csv
258_2018_07_30.csv,258,2018,07,30,csv,Yes,2023-06-25,2018-07-30,4.9455,NA,NA,NA,992.7121951219513,0.26,0.26625,1125,95,82,258_2018_07_30_Level1.csv
261_2018_05_22.csv,261,2018,05,22,csv,Yes,2023-06-25,2018-05-22,3.399,NA,NA,NA,984.7954022988506,0.99,0.98,202,202,58,261_2018_05_22_Level1.csv
261_2018_06_12.csv,261,2018,06,12,csv,Yes,2023-06-25,2018-06-12,3.624,NA,NA,NA,981.8723004694835,0.37,0.4766666666666667,96,96,71,261_2018_06_12_Level1.csv
261_2018_07_10.csv,261,2018,07,10,csv,Yes,2023-06-25,2018-07-10,3.674,NA,NA,NA,987.2515151515152,0.29,0.29,105,105,88,261_2018_07_10_Level1.csv
261_2018_07_31.csv,261,2018,07,31,csv,Yes,2023-06-25,2018-07-31,3.4775,NA,NA,NA,986.1758573388204,3.63,3.6768055555555557,1243,105,81,261_2018_07_31_Level1.csv
266_2018_05_22.csv,266,2018,05,22,csv,Yes,2023-06-25,2018-05-22,3.342,NA,NA,NA,982.9899371069182,0.42,0.455,126,126,106,266_2018_05_22_Level1.csv
266_2018_06_12.csv,266,2018,06,12,csv,Yes,2023-06-25,2018-06-12,3.459,NA,NA,NA,979.7846153846153,0.38,0.42333333333333334,80,80,65,266_2018_06_12_Level1.csv
266_2018_07_10.csv,266,2018,07,10,csv,Yes,2023-06-25,2018-07-10,3.542,NA,NA,NA,985.0826666666666,0.21,0.21833333333333332,88,88,75,266_2018_07_10_Level1.csv
266_2018_07_31.csv,266,2018,07,31,csv,Yes,2023-06-25,2018-07-31,3.45575,NA,NA,NA,984.246875,3.1,3.0637499999999998,888,75,64,266_2018_07_31_Level1.csv
267_2018_05_21.csv,267,2018,05,21,csv,Yes,2023-06-25,2018-05-21,3.067,NA,NA,NA,991.1763888888888,7.12,7.12,122,122,96,267_2018_05_21_Level1.csv
267_2018_06_11.csv,267,2018,06,11,csv,Yes,2023-06-25,2018-06-11,2.661,NA,NA,NA,982.2907407407408,2.59,2.6266666666666665,92,92,72,267_2018_06_11_Level1.csv
