Level0_profiles,MULakeNumber,year,month,day,csv,Level0to1_done,Level0to1_done_date,profile_date,maxDepth_m,latitude,longitude,altitude_m,barometerAirHandheld_mbars,doConcentration_mgpL_bottom,doConcentration_mgpL_bottom5mean,nrow_original_Level0,nrow_readProfile,nrow_Level1,Level1FileName,Level1to2_done,Level1to2_done_date,flag_monotonicDensity,flag_decreasingTemp,flag_lowTemps,flag_lowpH,flag_jumps_chlorophyll_RFU,flag_jumps_depth_m,flag_jumps_doSaturation_percent,flag_jumps_doConcentration_mgpL,flag_jumps_orp_mV,flag_jumps_waterPressure_barA,flag_jumps_salinity_psu,flag_jumps_specificConductivity_uSpcm,flag_jumps_phycocyaninBGA_RFU,flag_jumps_tds_mgpL,flag_jumps_turbidity_FNU,flag_jumps_pH,flag_jumps_temp_degC,flag_jumps_verticalPosition_m,flag_jumps_latitude,flag_jumps_longitude,flag_jumps_altitude_m,flag_jumps_barometerAirHandheld_mbars,Level1to2_some_depths_removed,Level1to2_profileRemoved
070_2020_08_03.csv,070,2020,08,03,csv,Yes,2023-06-28,2020-08-03,5.08,38.686809387755105,-94.35860469387757,280.83061224489796,989.1081632653062,0.67,0.695,102,102,49,070_2020_08_03_Level1.csv,No,NA,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA
070_2020_08_18.csv,070,2020,08,18,csv,Yes,2023-06-28,2020-08-18,5.063,38.686725,-94.35859270833332,279.61041666666665,990.6291666666668,0.37,0.39666666666666667,87,87,48,070_2020_08_18_Level1.csv,No,NA,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA
072_2020_06_16.csv,072,2020,06,16,csv,Yes,2023-06-28,2020-06-16,13.351,39.40195712871287,-94.54510495049504,258.76930693069306,992.7128712871288,0.1,0.095,281,281,101,072_2020_06_16_Level1.csv,No,NA,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,yes,NA
072_2020_07_07.csv,072,2020,07,07,csv,Yes,2023-06-28,2020-07-07,14.279,39.39848055555556,-94.549942251462,260.43976608187137,988.0540935672516,0,0.00666666666666666,552,184,114,072_2020_07_07_Level1.csv,No,NA,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,NA,NA
072_2020_07_31.csv,072,2020,07,31,csv,Yes,2023-06-28,2020-07-31,14.649,39.39862394666667,-94.55065341333334,257.29973333333334,987.4210666666668,-0.78,-0.7794444444444445,713,238,125,072_2020_07_31_Level1.csv,No,NA,0,0,0,0,0,2,3,3,0,2,0,0,1,0,0,0,0,1,0,0,0,0,NA,NA
072_2020_09_04.csv,072,2020,09,04,csv,Yes,2023-06-28,2020-09-04,12.922,39.40026303030303,-94.55308909090908,259.6363636363636,994.7333333333332,0.09,0.09,356,356,66,072_2020_09_04_Level1.csv,No,NA,0,0,0,0,1,2,1,1,0,2,0,0,1,0,1,0,0,2,0,0,0,0,yes,NA
074_2020_06_16.csv,074,2020,06,16,csv,Yes,2023-06-28,2020-06-16,8.585,39.394725625,-94.261939375,269.053125,992.91875,0.1,0.10333333333333332,308,308,32,074_2020_06_16_Level1.csv,No,NA,0,0,0,0,2,0,2,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,yes,NA
074_2020_07_07.csv,074,2020,07,07,csv,Yes,2023-06-28,2020-07-07,7.66,39.39379,-94.262148,270.17,987.65,0.04,0.04,339,339,10,074_2020_07_07_Level1.csv,No,NA,0,0,0,0,1,1,2,2,2,1,0,0,1,0,0,0,0,1,0,0,0,0,yes,NA
074_2020_07_31.csv,074,2020,07,31,csv,Yes,2023-06-28,2020-07-31,9.954666666666666,39.394014179104474,-94.26251945273631,271.2159203980099,985.6313432835822,-0.96,-0.96,676,226,67,074_2020_07_31_Level1.csv,No,NA,0,0,0,0,1,1,1,1,0,1,0,0,2,0,1,0,0,1,0,0,0,0,NA,NA
074_2020_09_04.csv,074,2020,09,04,csv,Yes,2023-06-28,2020-09-04,9.264,39.39404967741935,-94.26230741935484,271.2258064516129,994.2354838709678,0.06,0.06,312,312,31,074_2020_09_04_Level1.csv,No,NA,0,0,0,0,0,3,2,2,1,3,0,0,0,0,1,0,0,2,0,0,0,0,NA,NA
087_2020_06_04.csv,087,2020,06,04,csv,Yes,2023-06-28,2020-06-04,10.304,39.79610797101449,-93.02698260869565,241.3840579710145,979.1101449275362,0.06,0.06,342,342,69,087_2020_06_04_Level1.csv,No,NA,0,0,0,0,0,1,0,0,0,1,0,0,13,0,0,0,0,1,0,0,0,0,yes,NA
087_2020_07_13.csv,087,2020,07,13,csv,Yes,2023-06-28,2020-07-13,9.408,39.796070547945206,-93.02709273972604,239.46301369863016,985.5410958904108,0.06,0.06,178,178,73,087_2020_07_13_Level1.csv,No,NA,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,NA,NA
087_2020_07_27.csv,087,2020,07,27,csv,Yes,2023-06-28,2020-07-27,9.963,39.79602876404494,-93.02719078651684,241.48426966292135,991.838202247191,-0.82,-0.815,179,179,89,087_2020_07_27_Level1.csv,No,NA,1,1,0,0,0,1,1,1,0,1,0,0,3,0,1,0,0,1,0,0,0,0,yes,NA
087_2020_09_10.csv,087,2020,09,10,csv,Yes,2023-06-28,2020-09-10,8.613,39.795925,-93.02760785714284,241.3642857142857,999.8428571428572,0.32,0.32666666666666666,335,335,14,087_2020_09_10_Level1.csv,No,NA,0,0,0,0,0,2,2,2,1,2,0,0,0,0,1,0,0,2,0,0,0,0,yes,NA
089_2020_06_30.csv,089,2020,06,30,csv,Yes,2023-06-28,2020-06-30,14.509333333333334,38.26686386111111,-93.4076498888889,213.65444444444444,982.3594444444444,7.89,7.846666666666667,762,255,120,089_2020_06_30_Level1.csv,No,NA,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,yes,NA
089_2020_08_07.csv,089,2020,08,07,csv,Yes,2023-06-28,2020-08-07,14.165333333333333,38.26563826241135,-93.40644063829788,213.25992907801415,995.2258865248228,0.05,0.04777777777777778,473,158,94,089_2020_08_07_Level1.csv,No,NA,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA
089_2020_08_21.csv,089,2020,08,21,csv,Yes,2023-06-28,2020-08-21,13.848,38.26730783783784,-93.408070990991,211.1063063063063,990.7675675675677,0.07,0.07500000000000001,272,272,111,089_2020_08_21_Level1.csv,No,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,yes,NA
089_2020_09_19.csv,089,2020,09,19,csv,Yes,2023-06-28,2020-09-19,11.443,38.26790035714286,-93.41100392857145,210.44642857142856,1002.8125,0.07,0.07,319,319,56,089_2020_09_19_Level1.csv,No,NA,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,yes,NA
091_2020_06_15.csv,091,2020,06,15,csv,Yes,2023-06-28,2020-06-15,3.947,38.00673357142857,-94.04748785714284,217.97857142857143,994.3714285714284,0.45,0.45666666666666667,147,147,14,091_2020_06_15_Level1.csv,No,NA,0,0,0,0,0,2,1,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,NA,NA
091_2020_07_07.csv,091,2020,07,07,csv,Yes,2023-06-28,2020-07-07,4.67,38.005710666666666,-94.04723033333332,219.8,986.6833333333334,0.2,0.2,128,128,30,091_2020_07_07_Level1.csv,No,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA
091_2020_08_04.csv,091,2020,08,04,csv,Yes,2023-06-28,2020-08-04,4.607,38.00577652173913,-94.04689565217392,218.30434782608697,997.8130434782609,6.25,6.265,87,87,46,091_2020_08_04_Level1.csv,No,NA,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,yes,NA
091_2020_08_18.csv,091,2020,08,18,csv,Yes,2023-06-28,2020-08-18,4.456,38.005562000000005,-94.046808,217.884,995.962,3.37,3.595,85,85,50,091_2020_08_18_Level1.csv,No,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
