MULakeNumber,waterBody,waterBodyLatitude,waterBodyLongitude,site_latitude,site_longitude
232,Lick Creek,39.1508,-92.3846,39.151123047787536,-92.38522984545139
233,Linneus,39.8872,-93.1994,NA,NA
234,Malta Bend,39.1759,-93.3852,NA,NA
235,Redman,39.8743,-94.3656,NA,NA
236,McCredie,38.9477,-91.9105,38.94724981981982,-91.90898648648648
237,Milan (North),40.2002,-93.1048,NA,NA
238,Monroe (Route J),39.6063,-91.6661,NA,NA
239,LaBelle City (West),40.0918,-91.9123,NA,NA
240,North Whetstone,38.9823,-91.7309,NA,NA
241,Phillips,38.8957,-92.2934,38.896172764086295,-92.2939714581196
242,Pike,39.9516,-93.6746,NA,NA
243,Pin Oak,37.4357,-94.5657,NA,NA
244,Pine Ridge,39.3987,-92.8011,NA,NA
245,Poosey 17,39.9221,-93.7168,NA,NA
246,Poosey 18,39.9281,-93.7087,NA,NA
247,Poosey 20,39.9282,-93.7014,NA,NA
248,Johnson,38.7789,-92.6015,38.778873745704466,-92.6013804467354
249,Reform 1,38.7605,-91.7957,NA,NA
250,Santa Fe,40.0362,-92.4763,NA,NA
251,Sears Community,40.2613,-93.0764,NA,NA
252,South Farm,38.9039,-92.2781,NA,NA
253,Tobacco Hill,39.4229,-94.8044,NA,NA
254,Walter,39.0675,-91.6299,NA,NA
255,Watershed,40.3,-91.9341,NA,NA
256,Wellsville City,39.0356,-91.5769,NA,NA
257,Whitesell,39.0728,-91.6323,NA,NA
258,Winegar,38.4777,-92.3971,38.47764913793103,-92.39735646551723
260,Busch 16,38.7051,-90.7578,NA,NA
261,Adrian City,38.3907,-94.3364,NA,NA
263,Brays,37.892,-91.7784,NA,NA
264,Drexel City,38.4744,-94.6061,NA,NA
265,Drexel Reservoir,38.4638,-94.6069,38.463536172289466,-94.60768449340145
266,Garden City,38.5218,-94.1695,NA,NA
267,Niangua,37.9356,-92.8504,NA,NA
268,Nims,37.6384,-90.3307,NA,NA
269,Shepherd Mountain,37.5919,-90.6579,37.59180272835785,-90.6577780202485
270,Vandalia,39.3769,-91.4084,NA,NA
271,Palmer,37.8227,-90.9217,NA,NA
272,Perry,39.4239,-91.6747,NA,NA
273,Odessa (Upper),38.9701,-93.9782,NA,NA
317,Buffalo Bill,39.8155,-94.3832,NA,NA
400,Woodrail,38.9214,-92.3581,NA,NA
274,Alpine,38.7496,-91.0812,38.750112758307665,-91.08147381995764
275,Ascencio,39.343,-94.8554,NA,NA
276,Ashland,38.7553,-92.2058,38.75550139332877,-92.20631259796127
277,Aspen,38.7576,-91.04,NA,NA
278,Aspenetter,38.763,-91.0326,NA,NA
279,Autumn,38.2075,-92.7141,NA,NA
280,Sherwood (Big Lake),38.6648,-90.9875,NA,NA
281,Buteo,38.7489,-93.5814,NA,NA
282,Cardinal,38.761,-91.0089,NA,NA
283,Castlenovo,38.7669,-91.0509,NA,NA
284,Charrette,38.7659,-91.023,NA,NA
285,Clearfork,38.7517,-93.5972,NA,NA
286,Crystal,39.3567,-94.1914,NA,NA
287,Doniphan (Lower),38.3239,-94.1965,NA,NA
288,Doniphan (Upper),39.3274,-94.1953,NA,NA
289,Eleanor,38.6726,-90.9734,NA,NA
290,Eureka,38.5159,-90.6429,NA,NA
291,Foxtail,38.7745,-91.0233,NA,NA
292,Good Oak,38.1982,-92.7169,NA,NA
293,Innsbrook,38.7684,-91.0545,NA,NA
294,January Wabash,38.7528,-90.3111,NA,NA
295,Jennings,38.7384,-90.2583,NA,NA
296,Konstanz,38.7624,-91.074,NA,NA
297,Lake of the Woods,38.9954,-94.5206,NA,NA
298,Ste. Louise,38.7994,-90.7911,NA,NA
299,Lakeview,39.1546,-91.89,NA,NA
300,Lucern,38.7756,-91.0595,NA,NA
301,Penn Valley,39.0783,-94.5927,NA,NA
302,Red Fox,38.7717,-91.0255,NA,NA
