Level0_profiles,MULakeNumber,year,month,day,csv,Level0to1_done,Level0to1_done_date,profile_date,maxDepth_m,latitude,longitude,altitude_m,barometerAirHandheld_mbars,doConcentration_mgpL_bottom,doConcentration_mgpL_bottom5mean,Level1FileName
112_2019_07_18.csv,112,2019,07,18,csv,Yes,2023-06-19,2019-07-18,16.687,NA,NA,NA,984.3530434782609,0.49,0.5083333333333333,112_2019_07_18_Level1.csv
112_2019_08_09.csv,112,2019,08,09,csv,Yes,2023-06-19,2019-08-09,14.334,NA,NA,NA,984.7595744680851,0.83,0.8683333333333333,112_2019_08_09_Level1.csv
112A_2019_06_19.csv,112A,2019,06,19,csv,Yes,2023-06-19,2019-06-19,16.846,NA,NA,NA,977.5013550135502,0.19,0.19166666666666668,112A_2019_06_19_Level1.csv
114_2019_06_11.csv,114,2019,06,11,csv,Yes,2023-06-19,2019-06-11,8.252,NA,NA,NA,993.1749287749287,0.02,0.02,114_2019_06_11_Level1.csv
114_2019_07_10.csv,114,2019,07,10,csv,Yes,2023-06-19,2019-07-10,8.555,NA,NA,NA,991.3206349206349,0.04,0.03666666666666667,114_2019_07_10_Level1.csv
114_2019_08_01.csv,114,2019,08,01,csv,Yes,2023-06-19,2019-08-01,8.503,NA,NA,NA,997.9632183908046,0.26,0.26333333333333336,114_2019_08_01_Level1.csv
115_2019_05_23.csv,115,2019,05,23,csv,Yes,2023-06-19,2019-05-23,5.91,NA,NA,NA,995.4252873563219,0.32,0.33166666666666667,115_2019_05_23_Level1.csv
115_2019_06_12.csv,115,2019,06,12,csv,Yes,2023-06-19,2019-06-12,6.048,NA,NA,NA,989.8116666666666,0.15,0.15,115_2019_06_12_Level1.csv
115_2019_07_10.csv,115,2019,07,10,csv,Yes,2023-06-19,2019-07-10,6.376,NA,NA,NA,990.5660130718954,0.16,0.16833333333333333,115_2019_07_10_Level1.csv
117_2019_06_13.csv,117,2019,06,13,csv,Yes,2023-06-19,2019-06-13,7.244,38.9061735,-92.122403,254.03,988.15,0.06,0.06,117_2019_06_13_Level1.csv
117_2019_07_11.csv,117,2019,07,11,csv,Yes,2023-06-19,2019-07-11,7.245,NA,NA,NA,987.7507788161993,0.08,0.08,117_2019_07_11_Level1.csv
117_2019_08_01.csv,117,2019,08,01,csv,Yes,2023-06-19,2019-08-01,6.906,NA,NA,NA,991.3290780141845,0.25,0.25,117_2019_08_01_Level1.csv
118_2019_06_03.csv,118,2019,06,03,csv,Yes,2023-06-19,2019-06-03,5.969,NA,NA,NA,981.1745098039215,0.92,0.9333333333333333,118_2019_06_03_Level1.csv
118_2019_08_12.csv,118,2019,08,12,csv,Yes,2023-06-19,2019-08-12,8.206,NA,NA,NA,976.0032786885246,0.18,0.185,118_2019_08_12_Level1.csv
121_2019_06_03.csv,121,2019,06,03,csv,Yes,2023-06-19,2019-06-03,4.567,NA,NA,NA,991.68,0.14,0.14,121_2019_06_03_Level1.csv
121_2019_07_22.csv,121,2019,07,22,csv,Yes,2023-06-19,2019-07-22,4.938,NA,NA,NA,994.3054545454546,0.4,0.43333333333333335,121_2019_07_22_Level1.csv
133_2019_05_23.csv,133,2019,05,23,csv,Yes,2023-06-19,2019-05-23,11.58,NA,NA,NA,980.3904273504273,7.36,7.366666666666667,133_2019_05_23_Level1.csv
133_2019_06_11.csv,133,2019,06,11,csv,Yes,2023-06-19,2019-06-11,11.653,NA,NA,NA,994.7325396825397,0.13,0.13,133_2019_06_11_Level1.csv
133_2019_07_10.csv,133,2019,07,10,csv,Yes,2023-06-19,2019-07-10,12.085,NA,NA,NA,989.5769369369369,-0.01,-0.01,133_2019_07_10_Level1.csv
145_2019_05_23.csv,145,2019,05,23,csv,Yes,2023-06-19,2019-05-23,21.083,NA,NA,NA,998.1493521790342,2.15,2.15,145_2019_05_23_Level1.csv
145_2019_06_12.csv,145,2019,06,12,csv,Yes,2023-06-19,2019-06-12,23.557,NA,NA,NA,991.0342451874367,0.18,0.19166666666666665,145_2019_06_12_Level1.csv
145_2019_07_11.csv,145,2019,07,11,csv,Yes,2023-06-19,2019-07-11,23.91,NA,NA,NA,995.287326943557,0.01,0.01,145_2019_07_11_Level1.csv
145_2019_08_01.csv,145,2019,08,01,csv,Yes,2023-06-19,2019-08-01,18.948,NA,NA,NA,1001.2642642642643,0.03,0.021666666666666667,145_2019_08_01_Level1.csv
146_2019_05_29.csv,146,2019,05,29,csv,Yes,2023-06-19,2019-05-29,7.39,NA,NA,NA,979.0613861386138,0.18,0.18333333333333332,146_2019_05_29_Level1.csv
146_2019_06_18.csv,146,2019,06,18,csv,Yes,2023-06-19,2019-06-18,5.68,NA,NA,NA,982.4313725490196,0.04,0.03833333333333333,146_2019_06_18_Level1.csv
146_2019_07_17.csv,146,2019,07,17,csv,Yes,2023-06-19,2019-07-17,7.639,NA,NA,NA,987.0444444444444,0.2,0.2,146_2019_07_17_Level1.csv
146_2019_09-05.csv,146,2019,09,05,csv,Yes,2023-06-19,2019-09-05,5.837,37.41834444444444,-90.61814733333334,259.62666666666667,991.5511111111111,0.36,0.375,146_2019_09_05_Level1.csv
149_2019_05_31.csv,149,2019,05,31,csv,Yes,2023-06-19,2019-05-31,23.344,38.20425858310627,-92.62738485013624,198.3365122615804,995.2770208901,1.8,1.8216666666666668,149_2019_05_31_Level1.csv
149_2019_06_12.csv,149,2019,06,12,csv,Yes,2023-06-19,2019-06-12,21.239,38.20334181208054,-92.62686526845637,199.35167785234898,995.5722595078299,2.41,2.4166666666666665,149_2019_06_12_Level1.csv
149_2019_07_19.csv,149,2019,07,19,csv,Yes,2023-06-19,2019-07-19,30.955,38.205564375,-92.624945025,196.047,993.4923333333334,0,-0.006666666666666667,149_2019_07_19_Level1.csv
149_2019_08_28.csv,149,2019,08,28,csv,Yes,2023-06-19,2019-08-28,31.883,38.20547,-92.62537462311558,196.52964824120602,997.9474036850921,0.38,0.475,149_2019_08_28_Level1.csv
150_2019_06_03.csv,150,2019,06,03,csv,Yes,2023-06-19,2019-06-03,5.046,NA,NA,NA,993.5466666666667,0.43,0.43833333333333335,150_2019_06_03_Level1.csv
150_2019_07_22.csv,150,2019,07,22,csv,Yes,2023-06-19,2019-07-22,4.938,NA,NA,NA,994.3054545454546,0.4,0.43333333333333335,150_2019_07_22_Level1.csv
150_2019_08_12.csv,150,2019,08,12,csv,Yes,2023-06-19,2019-08-12,5.008,NA,NA,NA,985.9733333333334,0.21,0.22333333333333333,150_2019_08_12_Level1.csv
162_2019_07_22.csv,162,2019,07,22,csv,Yes,2023-06-19,2019-07-22,9.095,NA,NA,NA,993.1780068728522,0.24,0.24666666666666667,162_2019_07_22_Level1.csv
162_2019_08_12.csv,162,2019,08,12,csv,Yes,2023-06-19,2019-08-12,8.285,NA,NA,NA,982.7894389438944,0.15,0.15,162_2019_08_12_Level1.csv
179_2019_06_10.csv,179,2019,06,10,csv,Yes,2023-06-19,2019-06-10,6.472,NA,NA,NA,987.7737827715355,0.29,0.29833333333333334,179_2019_06_10_Level1.csv
179_2019_07_08.csv,179,2019,07,08,csv,Yes,2023-06-19,2019-07-08,8.991,NA,NA,NA,976.6955223880597,0.06,0.06166666666666667,179_2019_07_08_Level1.csv
179_2019_07_29.csv,179,2019,07,29,csv,Yes,2023-06-19,2019-07-29,6.013,NA,NA,NA,978.2753623188406,0.44,0.46499999999999997,179_2019_07_29_Level1.csv
180_2019_05_20.csv,180,2019,05,20,csv,Yes,2023-06-19,2019-05-20,9.029,NA,NA,NA,984.3137254901961,1.04,1.1183333333333334,180_2019_05_20_Level1.csv
180_2019_06_10.csv,180,2019,06,10,csv,Yes,2023-06-19,2019-06-10,8.464,NA,NA,NA,992.0553086419753,0.16,0.16,180_2019_06_10_Level1.csv
180_2019_07_08.csv,180,2019,07,08,csv,Yes,2023-06-19,2019-07-08,8.755,NA,NA,NA,980.3427083333333,0.09,0.08666666666666667,180_2019_07_08_Level1.csv
180_2019_07_29.csv,180,2019,07,29,csv,Yes,2023-06-19,2019-07-29,8.967,NA,NA,NA,981.9761194029851,0.19,0.19,180_2019_07_29_Level1.csv
181_2019_06_10.csv,181,2019,06,10,csv,Yes,2023-06-19,2019-06-10,11.161,NA,NA,NA,987.919341563786,0.09,0.095,181_2019_06_10_Level1.csv
181_2019_07_08.csv,181,2019,07,08,csv,Yes,2023-06-19,2019-07-08,10.491,NA,NA,NA,976.8244897959185,0.06,0.06,181_2019_07_08_Level1.csv
181_2019_07_29.csv,181,2019,07,29,csv,Yes,2023-06-19,2019-07-29,10.167,NA,NA,NA,978.8321513002364,0.33,0.33666666666666667,181_2019_07_29_Level1.csv
