MULakeNumber,waterBody,waterBodyLatitude_degree,waterBodyLongitude_degree,notes,elevation_m_extract
427,Primrose,37.9927,-90.5628,NA,244.03
428,Sayersbrook,37.9867,-90.9259,NA,272.21
429,Wahoo,38.0012,-90.5468,NA,251.03
430,Bluestem,38.8715,-94.3244,NA,297.78
431,Bodarc,38.8708,-94.3167,NA,290.35
432,Harrisonville City,38.6645,-94.3391,NA,283.95
433,Luna,38.6616,-94.3462,NA,276.35
434,Sever Lake North,40.2556,-92.1485,NA,227.32
435,Hurdland Severs,40.1121,-92.294,NA,261.41
436,Finger Lake,39.0872,-92.3157,NA,225.82
437,Thunderbird (Lower),38.8068,-91.8085,NA,196.78
438,Bethel,38.9012,-92.3421,NA,222.82
439,Cheney,37.7266,-97.7933,NA,441.44
440,Crow Pond,38.8938,-91.7372,NA,244.67
441,Montauk,37.4579,-91.6847,NA,283.78
442,Callaway Fork,38.6824,-90.845,NA,182.02
443,Spanish,38.8005,-90.2035,NA,148.77
444,Cole,38.0193,-90.567,NA,250.34
445,Rock Lake Village,38.8853,-94.0729,NA,295.03
446,Sakatah,44.2229,-93.5625,NA,304.55
446-01-00,NA,44.22442625985434,-93.55670113006484,NA,304.55
446-02-00,NA,44.22161680555555,-93.56584368055556,NA,304.55
447,Black Hawk,42.3036,-95.0393,NA,371.8
448,Riata,38.4698,-91.4061,NA,232.49
449,Pleasant Hill,38.8223,-94.2962,NA,272.43
450,Marion,38.3675,-90.7568,NA,180.29
451,Serene,38.4132,-90.7849,NA,158.26
452,Katy,38.9199,-92.3952,NA,184.95
453,Lafayette Park,38.6156,-90.216,NA,163.42
454,Cedar Hill (Lake 1),38.3337,-90.6549,NA,156.71
455,West Arrowhead,39.4848,-94.3117,NA,283.91
456,Timberland,37.9178,-93.97,NA,241.51
457,OFallon Park,38.6792,-90.2194,NA,156.57
458,Crystal (Morgan),38.3942,-92.9464,NA,265.94
459,Fon du Lac,38.4898,-90.4693,NA,157.66
460,Houston,39.1904,-94.6185,NA,249.04
461,See Tal,38.6881,-91.4368,NA,179.53
462,Tilles Park,38.6222,-90.3636,NA,154.37
463,McKee Pond,38.671,-92.2592,NA,185.42
464,Cedar (Randolph),39.3925,-92.4234,NA,256.63
465,McKee Prairie,38.8375,-94.2319,NA,304.68
